rally_idx,shot_idx,t_s,player,predicted,confidence,truth
49,1,363.72,,return,0.38,
49,2,364.32,,unknown,0.19,
51,0,380.16,player_1,serve,0.71,
51,1,380.42,player_1,return,0.34,
51,2,380.82,,unknown,0.21,
51,3,382.82,player_1,unknown,0.33,
52,0,389.09,player_1,serve,0.71,
52,1,389.56,player_1,return,0.43,
52,2,390.29,player_1,third_shot_drive,0.43,
52,3,392.02,player_1,drive,0.43,
52,4,392.42,player_1,unknown,0.2,
53,0,397.59,,serve,0.33,
53,1,398.59,,return,0.39,
53,2,399.99,,unknown,0.19,
54,0,407.82,player_3,serve,0.71,
54,1,409.89,player_3,return,0.34,
54,2,410.49,player_3,volley,0.4,
55,0,415.29,player_3,serve,0.71,
55,1,415.56,player_3,return,0.34,
55,2,416.69,,unknown,0.2,
55,3,417.36,player_3,lob,0.71,
55,4,417.62,player_3,drop,0.43,
55,5,420.29,player_3,unknown,0.17,
55,6,420.56,player_3,unknown,0.2,
56,0,420.29,player_3,serve,0.71,
56,1,420.56,player_3,return,0.34,
56,2,423.09,player_3,drop,0.43,
58,0,433.86,player_3,serve,0.71,
58,1,434.19,player_3,return,0.34,
58,2,434.46,player_3,unknown,0.17,
59,0,440.49,player_1,serve,0.71,
59,1,441.36,player_3,return,0.71,
59,2,441.83,player_3,unknown,0.17,
59,3,442.16,player_3,lob,0.34,
59,4,442.43,player_3,unknown,0.17,
59,5,442.76,,unknown,0.13,
59,6,443.03,player_3,drop,0.71,
59,7,444.83,player_3,unknown,0.16,
59,8,445.23,player_3,unknown,0.2,
